id,trigger,conditions,script,text,options,notes,
,,,,,,,
relLevelNeutralCC,RelationshipLevelDesc,"$faction.rel == NEUTRAL 
$faction.id == Crimson_citadel",,"$theFaction is perhaps just a legend to you, or maybe you haven't yet begun further interactions with these otherworldly visitors.",,,
relLevelFavorableCC,RelationshipLevelDesc,"$faction.rel == FAVORABLE
$faction.id == Crimson_citadel",,It seems you've met the Crimson Lord and gained a sliver of recognition... but should your relationship remain at this level?,,,
relLevelWelcomingCC,RelationshipLevelDesc,"$faction.rel == WELCOMING
$faction.id == Crimson_citadel",,You've grown quite familiar with $theFaction. Stepping into these legends fills you with pride—at least you'll have more bragging rights among drunkards.,,,
relLevelFriendlyCC,RelationshipLevelDesc,"$faction.rel == FRIENDLY
$faction.id == Crimson_citadel",,"You know most of $theFaction's key figures, and the rest already know you. Interacting with these outsiders isn't as perilous as you once imagined.",,,
relLevelCooperativeCC,RelationshipLevelDesc,"$faction.rel == COOPERATIVE
$faction.id == Crimson_citadel",,"The Crimson Lord seems fond of you, short-lived human that you are. Perhaps after tiring of Perseus' conflicts, retiring in this isolated fortress wouldn't be a bad choice?",,,
relLevelSuspiciousCC,RelationshipLevelDesc,"$faction.rel == SUSPICIOUS
$faction.id == Crimson_citadel",,"Your fear of $theFaction has triggered a chain of adverse reactions. Fortunately, they don't seem inclined to pursue the matter.",,,
relLevelInhospitableCC,RelationshipLevelDesc,"$faction.rel == INHOSPITABLE
$faction.id == Crimson_citadel",,"Your fear of $theFaction has triggered a chain of adverse reactions. Fortunately, they don't seem inclined to pursue the matter.",,,
relLevelHostileCC,RelationshipLevelDesc,"$faction.rel == HOSTILE
$faction.id == Crimson_citadel",,"Your fear of $theFaction has triggered a chain of adverse reactions. Fortunately, they don't seem inclined to pursue the matter.",,,
relLevelVengefulCC,RelationshipLevelDesc,"$faction.rel == VENGEFUL
$faction.id == Crimson_citadel",,"Your fear of $theFaction has triggered a chain of adverse reactions. Fortunately, they don't seem inclined to pursue the matter.",,,
,,,,,,,
flavorTextMarketCrimson_citadel,TradePanelFlavorText,"$global.tradePanelMode == MARKET
$faction.id == Crimson_citadel
$market.id == Crimson_citadel score:100","AddText ""This place has almost no living beings except a few maids and men in suits. You start wondering how they maintain such vast space. The overly ornate decor feels alien to your pragmatic sensibilities, followed by an eerie emptiness."" marketFlavorTextColor
AddText ""A massive bordered metal door looms at the corridor's end. A long-eared maid informs you it's the Crimson Vault, where the Crimson Lord casually stores her disinterested treasures."" marketFlavorTextColor",,,,
,,,,,,,
flavorTextMarketStarship_dust,TradePanelFlavorText,"$global.tradePanelMode == MARKET
$faction.id == Crimson_citadel
$market.id == Starship_dust score:100","AddText ""Even for a capital ship, its corridors are excessively wide. You encounter no crew—it seems stripped of combat capabilities, floating inertly as a makeshift habitat."" marketFlavorTextColor
AddText ""Find who you need and leave quickly... unless you want to settle here..."" marketFlavorTextColor",,,,
,,,,,,,
flavorTextMarketStarship_lose,TradePanelFlavorText,"$global.tradePanelMode == MARKET
$faction.id == Crimson_citadel
$market.id == Starship_lose score:100","AddText ""Even for a capital ship, its corridors are excessively wide. You encounter no crew—it seems stripped of combat capabilities, floating inertly as a makeshift habitat."" marketFlavorTextColor
AddText ""Resupply and depart. This wretched place has no one to talk to..."" marketFlavorTextColor",,,,
,,,,,,,
flavorTextMarketdark_world_w,TradePanelFlavorText,"$global.tradePanelMode == MARKET
$faction.id == Pale_Phantom
$market.id == dark_world_w score:100","AddText ""A scene like an ink painting unfolds. The space feels fragile, as if reality might rupture, yet the solid ground beneath anchors you."" marketFlavorTextColor
AddText ""No one would linger here... resisting madness from reality's fractures demands formidable willpower."" marketFlavorTextColor",,,,
,,,,,,,
Hillya_TxT,PickGreeting,"$Hillya_Person score:100
$rel <= 0.59","ShowPersonVisual
SetTextHighlightColors LIGHT_CRIMSON
SetTextHighlights ""\""Greetings... wanderer from another star...\""""","When you initiate contact, a white-haired noblewoman appears... Her strangeness makes you question if she's even human... 
But upon closer inspection, it's just a recording—the woman mechanically repeats:
""Greetings... wanderer from another star...""",cutCommLink:How tasteless...(Leave),,
,,,,,,,
Rika_TxT,PickGreeting,"$Rika_Person score:100
$rel <= 0.4","ShowPersonVisual
SetTextHighlightColors IE_WHITE
SetTextHighlights ""\""Expected me to say something...?\""""","After your request, there's no response. Soon, a prerecorded video appears. 
A white-haired woman in a witch-like hat dominates the frame. Her mature demeanor exudes reliability... but the clip ends abruptly:
""Expected me to say something...?""",cutCommLink:She does fit the 'witch' image...(Leave),,
,,,,,,,
YouYu_TxT,PickGreeting,"$YouYu_Person score:100
$rel <= 0.4","ShowPersonVisual
SetTextHighlightColors DEEP_BLUE
SetTextHighlights ""\""Apologies... our formal meeting must wait...\""""","After your request, a video appears. A black-haired girl in a blue-white hat captivates you—her beauty freezes time itself. The clip ends with:
""Apologies... our formal meeting must wait...""",cutCommLink:Is this... enchantment magic...?(Leave),,
,,,,,,,
